standard_count,total_CB_count,total_test_count,1 (60950-1),Lab. AH,Lab_AH_log
2,1,23,0,4.553876891600541,1.7144962229206409
1,0,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,1,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,0,2,0,2.890371757896165,1.358504720646626
1,1,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,1,4,0,2.995732273553991,1.3852268599316875
1,0,0,0,0.0,0.0
1,1,0,0,0.0,0.0
1,1,10,0,3.555348061489414,1.516301940852837
2,1,16,0,4.143134726391533,1.637662762520353
2,0,22,0,2.772588722239781,1.327761429538331
1,1,9,0,0.0,0.0
1,0,4,1,0.0,0.0
1,1,0,0,2.772588722239781,1.327761429538331
1,1,11,0,3.970291913552122,1.6034785735048491
1,1,0,0,2.833213344056216,1.3437034446606386
1,1,11,0,3.850147601710058,1.5790091378285869
1,1,2,0,2.70805020110221,1.3105061862047918
2,1,0,0,2.564949357461537,1.2711498482847257
2,1,1,0,2.833213344056216,1.3437034446606386
1,1,4,0,2.564949357461537,1.2711498482847257
1,1,9,0,3.433987204485146,1.4892992254175483
1,0,9,0,3.433987204485146,1.4892992254175483
1,0,8,0,3.113515309210374,1.4142779693192962
1,1,9,0,2.505525936990736,1.2543405625793864
1,1,8,0,3.228826155721369,1.441924449989076
1,1,0,0,2.499795262281751,1.2527044702934533
3,1,15,0,4.418840607796598,1.68988188256892
1,0,8,0,0.0,0.0
1,1,0,0,2.484906649788,1.2484412575662103
1,1,4,0,3.044522437723423,1.3973634811730353
3,1,8,0,1.386294361119891,0.869741686191944
1,0,16,0,2.19722457733622,1.1622831138840006
1,0,7,0,0.0,0.0
3,1,14,0,3.737669618283368,1.5555453730992024
1,1,11,0,2.890371757896165,1.358504720646626
1,1,4,0,2.94443897916644,1.372306733580753
1,1,1,0,2.890371757896165,1.358504720646626
1,1,7,0,0.0,0.0
2,1,5,0,1.945910149055313,1.0804178182729876
3,1,5,0,0.0,0.0
2,1,6,0,2.484906649788,1.2484412575662103
2,1,2,0,2.833213344056216,1.3437034446606386
1,1,10,0,3.433987204485146,1.4892992254175483
1,0,10,0,3.433987204485146,1.4892992254175483
2,1,9,0,3.314186004672526,1.4619086635586904
2,1,10,0,3.23867845216438,1.444251534849461
1,1,10,0,3.349904087274605,1.4701537959551225
2,1,11,0,3.417726683613366,1.4856252388047966
1,1,4,0,1.321755839982319,0.8423237270072311
2,1,4,0,1.321755839982319,0.8423237270072311
2,1,25,0,4.553876891600541,1.7144962229206409
1,1,0,0,0.0,0.0
1,1,4,0,0.0,0.0
1,1,5,0,0.0,0.0
1,1,0,0,0.0,0.0
1,1,5,0,2.995732273553991,1.3852268599316875
1,0,4,0,2.94443897916644,1.372306733580753
